subject_id,game_master,treatment,session,ll_E,post_E,ll_L1,post_L1,ll_L2,post_L2,ll_L3,post_L3,ll_D1,post_D1,ll_D2,post_D2,ll_S,post_S,t_hat,posterior_entropy,max_posterior,w_deep,cat,margin_L1_L2,margin_L2_L3
02_07,15,Baseline,2,-74.00763536276604,1.1294748993527398e-10,-51.10353753381442,0.9999997328949178,-78.21463255200024,1.681902899406966e-12,-66.34246038444587,2.408905592149887e-07,-71.35316370680958,1.6058278160332579e-09,-74.94809080745043,4.4100343660935804e-11,-68.63017429251934,2.4449965653042797e-08,L1,4.402744956477385e-06,0.9999997328949178,2.6549925460452713e-07,shallow,0.999999732893236,-2.4088887731208933e-07
02_07,16,Baseline,2,-76.48725329688358,1.0692384179561069e-11,-51.225764228430194,0.9999996816525863,-77.57414372412057,3.606152093864554e-12,-66.34031314251482,2.7279391077504123e-07,-69.31296181255978,1.3958210961053137e-08,-73.06177142721427,3.2865665328667674e-10,-68.50693559697736,3.125233677078152e-08,L1,5.241587950032905e-06,0.9999996816525863,3.0438920273538284e-07,shallow,0.9999996816489802,-2.7279030462294735e-07
02_08,1,Baseline,2,-82.93209636105297,0.00010078404664407616,-74.09120684789124,0.6965323996013306,-86.82441857253144,2.055785193393574e-06,-74.9274910774306,0.3018197788087605,-84.83251663865462,1.5067796707838045e-05,-82.0917156281064,0.00023354173754191066,-80.37775139133046,0.0012963722238215987,L1,0.6251452899847749,0.6965323996013306,0.3034525326019615,shallow,0.6965303438161372,-0.3018177230235671
02_08,2,Baseline,2,-82.18655151293744,1.79518098540809e-06,-68.95881711396964,0.9973332475051137,-85.52036901483545,6.401027526363348e-08,-74.92548766325686,0.0025559255666986152,-83.71592705687867,3.889635274382181e-07,-81.81185103443532,2.611190696565192e-06,-78.10852413353845,0.00010596758270299719,L1,0.018954360740787667,0.9973332475051137,0.0026663635313588494,shallow,0.9973331834948383,-0.002555861556423352
02_08,3,Baseline,2,-81.520047791378,5.568068931147583e-06,-69.42935029177939,0.9922653123062576,-86.00558782383521,6.275658729757917e-08,-74.29612030465441,0.0076386471322863695,-84.18646023468841,3.8698701461594274e-07,-81.2966351715283,6.9619591560958995e-06,-78.81752334766033,8.306078976699028e-05,L1,0.045876775873107734,0.9922653123062576,0.0077343007067279005,shallow,0.9922652495496703,-0.007638584375699072
02_08,4,Baseline,2,-85.5214496568563,6.124724274964363e-06,-73.5259086901912,0.9923932268439867,-90.39219133657613,4.6962402667849304e-08,-78.40522549368126,0.007544377797491225,-88.56399908650123,2.9222953972975984e-07,-85.65948839215109,5.335032645160538e-06,-83.40990277750048,5.059640966005068e-05,L1,0.045090745267244055,0.9923932268439867,0.007606480926474068,shallow,0.992393179881584,-0.007544330835088557
02_08,5,Baseline,2,-85.55355648797814,5.649868066218765e-06,-73.47754461956954,0.9921643641234625,-90.06284681255347,6.218396370027916e-08,-78.32962900125455,0.007750864623890986,-88.23465456247857,3.8694764446422396e-07,-85.33014386812843,7.064235590603358e-06,-83.01398163945055,7.16080173816225e-05,L1,0.046315929311740583,0.9921643641234625,0.00783524892889313,shallow,0.9921643019394989,-0.007750802439927286
02_08,6,Baseline,2,-84.00022160671155,6.35302545773894e-07,-69.73193682508018,0.9991206669890571,-88.50951193128688,6.992310259651485e-09,-76.77629411998795,0.0008715502680405588,-85.98832947226549,8.70074258761291e-08,-83.77680898686184,7.943418858735324e-07,-81.71253146055747,6.259098734584839e-06,L1,0.007115985897673337,0.9991206669890571,0.0008792460035170508,shallow,0.9991206599967468,-0.0008715432757302992
02_08,7,Baseline,2,-84.57639092365207,2.6702488101861097e-05,-74.08337732590815,0.9629630748233022,-88.75386894768178,4.0953976440487983e-07,-77.35246343692847,0.036632248394624964,-87.68388255923568,1.193947581978921e-06,-84.3498056410668,3.349318653015287e-05,-82.02377408127998,0.00034287762009428707,L1,0.16086306201391926,0.9629630748233022,0.03703573122911567,shallow,0.9629626652835378,-0.03663183885486056
02_08,8,Baseline,2,-83.64477081037253,5.711780520326012e-07,-69.27000674063059,0.999199539309723,-87.82224883440225,8.760237022495517e-09,-76.42084332364894,0.00078358002444566,-84.00592398701755,3.980381318364779e-07,-83.41818552778727,7.164341002860943e-07,-80.36432575450084,1.5186255310286489e-05,L1,0.006596889862056039,0.999199539309723,0.0008000626521452877,shallow,0.9991995305494861,-0.0007835712642086374
02_08,9,Baseline,2,-85.57999072446734,1.125767104858988e-05,-74.19918025116698,0.9864424257158304,-88.50407518343377,6.046928162092938e-07,-78.5071486837373,0.013278371772191882,-88.64928874546679,5.229610699490189e-07,-85.72714717864928,9.717159206853142e-06,-82.45157526919427,0.0002571000278359684,L1,0.07323116223744226,0.9864424257158304,0.013557051323099503,shallow,0.9864418210230141,-0.013277767079375674
02_08,10,Baseline,2,-81.74979521500939,0.00014860334623773987,-72.9717287517806,0.9644826414271579,-86.27155884961157,1.6152940523373038e-06,-76.28512875071175,0.0350996737574533,-84.50419228472404,9.458214098604168e-06,-81.56074279148228,0.000179528339193253,-82.38823686919022,7.847962180702573e-05,L1,0.15617868838946425,0.9644826414271579,0.035507900358743655,shallow,0.9644810261331056,-0.035098058463400965
02_08,11,Baseline,2,-82.34507857671251,2.5134295128194098e-06,-69.45829535345484,0.9929458239440236,-86.27072732961264,4.958828847534479e-08,-74.44588711924641,0.0067739497669659175,-84.26839166958547,3.6726745631224834e-07,-81.3223351700708,6.989377992578352e-06,-77.66716977143362,0.00027030662576024326,L1,0.043205368858035366,0.9929458239440236,0.007053808788520034,shallow,0.9929457743557352,-0.006773900178677442
02_08,12,Baseline,2,-81.437702278005,0.00039493485110694035,-73.64204300597251,0.9597039106111139,-86.07123850696185,3.8388950908386655e-06,-76.94504602945955,0.03529078165631336,-84.62272220955059,1.6341385632154043e-05,-81.59183369572814,0.000338522107248369,-79.06135585341215,0.004251670493494068,L1,0.18673427090204703,0.9597039106111139,0.040279748003253575,shallow,0.9597000717160231,-0.03528694276122252
02_08,13,Baseline,2,-83.5967501398285,8.819729504434008e-05,-74.27314565605081,0.987745920220632,-89.2935172897253,2.9606067700441266e-07,-78.70316582349753,0.011768251227836035,-87.4653250396504,1.842275319365443e-06,-84.56081434530026,3.3633146667093334e-05,-82.18506966228537,0.0003618597738242253,L1,0.06852345131525275,0.987745920220632,0.012252237504048698,shallow,0.987745624159955,-0.011767955167159031
02_08,14,Baseline,2,-82.92730347905898,0.00013592334493701052,-74.03880011098299,0.9851945907837533,-89.0211045609161,3.067537424330049e-07,-78.25171127005744,0.014584043450251993,-88.795910053892,3.842294079766363e-07,-85.25222613693134,1.3292080792975475e-05,-83.5702657096056,7.145935711445247e-05,L1,0.07840596589369002,0.9851945907837533,0.014805024986838864,shallow,0.9851942840300109,-0.01458373669650956
02_08,15,Baseline,2,-82.96477457690148,1.6668315655516608e-06,-69.66800916614496,0.9922099122369019,-86.72148871138391,3.893780784712115e-08,-74.53295388036169,0.007652175417854822,-84.44824892409491,3.781176875893805e-07,-81.55288923555507,6.840151630217618e-06,-78.61597738173425,0.00012898830655209834,L1,0.04631189316877872,0.9922099122369019,0.007789709645410536,shallow,0.992209873299094,-0.007652136480046975
02_08,16,Baseline,2,-85.65788878697892,1.0815002679727483e-05,-74.23484015119847,0.9885385733782243,-87.78897009118337,1.2838366826490114e-06,-78.7308606491325,0.011025460245090785,-86.44506752072306,4.922199942940058e-06,-83.54055682637292,8.98612009103414e-05,-82.24250964214237,0.00032908413646931956,L1,0.06477077290775113,0.9885385733782243,0.011456504421832823,shallow,0.9885372895415416,-0.011024176408408136
02_09,1,Baseline,2,-66.93928441642112,1.3597855156413124e-08,-70.11241261409327,5.693749342446549e-10,-48.825963202142795,0.9999674490790541,-70.71967356578475,3.1021890729517383e-10,-59.45945467843955,2.4094570633925105e-05,-60.53829613233738,8.191893570405945e-06,-64.0278184032748,2.499792924830068e-07,L2,0.0003887724101643281,0.9999674490790541,0.9999759048599911,deep,-0.9999674485096792,0.9999674487688351
02_09,2,Baseline,2,-65.28152820738606,4.461983769501323e-08,-74.04391023228706,6.983511046656509e-12,-48.35648999592639,0.999950927221039,-69.58225813855158,6.049851421625599e-10,-59.09980643870322,2.158816053863587e-05,-58.86100136874701,2.7411156749593505e-05,-65.73932625451675,2.822986624961377e-08,L2,0.0005702021592348987,0.999950927221039,0.9999784118324776,deep,-0.9999509272140554,0.9999509266160538
02_09,3,Baseline,2,-66.07068091282588,2.0267887640019892e-08,-73.93218083929709,7.809126364038239e-12,-48.35648999592639,0.9999628245291529,-70.36002532604842,2.7795204801129034e-10,-58.98807704571325,2.4140389051731287e-05,-59.60735440923935,1.2995575696397555e-05,-66.1377854308788,1.8952450285455656e-08,L2,0.0004407406136247885,0.9999628245291529,0.9999758596031392,deep,-0.9999628245213438,0.9999628242512009
02_09,4,Baseline,2,-65.6857047449464,1.1288868056644695e-08,-73.58413494727117,4.191850105433779e-12,-47.386277857310034,0.999978163358881,-69.93718683901757,1.6078857405389918e-10,-58.59106281696849,1.360862470771453e-05,-59.098610787504626,8.191981343503007e-06,-64.9075391527219,2.458121921094729e-08,L2,0.00027090681536798365,0.999978163358881,0.9999863913711003,deep,-0.9999781633546891,0.9999781631980924
02_09,5,Baseline,2,-65.88278597112816,1.2776206434215272e-08,-73.85601529058934,4.402226907678001e-12,-47.70712653734705,0.9999781658244978,-70.17213038435071,1.7521178364898532e-10,-58.911911497005505,1.3608624741268916e-05,-59.419459467541635,8.191981363701794e-06,-65.40442062323152,2.061357659347842e-08,L2,0.00027086441253435314,0.9999781658244978,0.9999863913708563,deep,-0.9999781658200956,0.9999781656492861
02_09,6,Baseline,2,-66.46441384946048,1.2776029281498584e-08,-71.6631076848992,7.057190692279886e-11,-48.288754415679364,0.9999643002964606,-70.75375826268302,1.752093541920415e-10,-58.80054916639135,2.7212600151731368e-05,-60.00108734587395,8.1918677750744e-06,-63.36931960513082,2.8221380210045685e-07,L2,0.00042219323296760426,0.9999643002964606,0.9999727873292764,deep,-0.9999643002258887,0.9999643001212511
02_09,7,Baseline,2,-65.13852543512198,4.866083034448695e-08,-71.89989268540926,5.633198156701339e-11,-48.30020640375438,0.9999275984626707,-69.42786984834451,6.673303943857276e-10,-58.29709061097466,4.5538309857525255e-05,-58.8272962876798,2.679856308586668e-05,-66.29686204398,1.5279893175203687e-08,L2,0.0008108660335607661,0.9999275984626707,0.9999544616338104,deep,-0.9999275984063387,0.9999275977953402
