game_master,look_up,outcome,deep,shallow,contrast,tau_informativity,se_tau,I_tau_cond,information_rank
7,late,normalized_lookup,-0.06360892335289295,0.5190117421687802,-0.5826206655216731,medium,17.13948374259049,0.0034041173818497,2
8,late,normalized_lookup,0.2240027007059902,0.45120842963971214,-0.22720572893372193,medium,17.13948374259049,0.0034041173818497,2
9,late,normalized_lookup,0.05438192678457668,0.3136209279061993,-0.25923900112162257,weak,26.196788917034286,0.0014571487178888,1
10,late,normalized_lookup,0.21394702027882526,0.5001869361089881,-0.28623991583016284,strong,6.653321455030653,0.0225903513835654,3
11,late,normalized_lookup,0.06833982910392011,0.331199405951508,-0.2628595768475879,weak,21.313901804104955,0.0022012738722302,1
12,late,normalized_lookup,0.14412396642172812,0.1877640210471862,-0.043640054625458086,medium,7.612845670689498,0.0172546418213299,2
13,late,normalized_lookup,0.18767363713854762,0.2759746524100206,-0.088301015271473,weak,28.19474214542016,0.0012579510610674,1
14,late,normalized_lookup,0.22759149991151514,0.4598480685684007,-0.23225656865688557,weak,27.789503026224843,0.0012949065859753,1
15,late,normalized_lookup,-0.07099422297541098,0.2887973986151118,-0.35979162159052275,medium,14.811357826313504,0.0045583771165255,2
16,late,normalized_lookup,0.017258473673911093,0.5137900307679178,-0.49653155709400676,medium,17.528598597052174,0.0032546598640646,2
1,late,macro_margin,-0.3739678708573254,-0.6279073717882967,0.2539395009309713,strong,4.746135070967829,0.0443935435731803,3
2,late,macro_margin,-0.24274643005958135,-0.5542161597064601,0.31146972964687875,medium,7.859476026435765,0.016188731230695,2
3,late,macro_margin,-0.37917488919670417,-0.6273925327288369,0.24821764353213271,weak,26.104783481221062,0.0014674381621813,1
4,late,macro_margin,-0.34646754172547556,-0.5609518866104516,0.21448434488497603,degenerate,50.14177783458664,0.0003977411667552,0
5,late,macro_margin,-0.41782573338225326,-0.8537053463242601,0.43587961294200683,degenerate,182.90926230635705,2.9890185040643917e-05,0
6,late,macro_margin,-0.4014431976235393,-0.7185914302536512,0.31714823263011194,medium,13.990222137525476,0.0051091750113597,2
7,late,macro_margin,-0.5116434942131146,-0.36505717760467865,-0.14658631660843596,medium,17.13948374259049,0.0034041173818497,2
8,late,macro_margin,-0.26665002954389144,-0.3842848011965614,0.11763477165266994,medium,17.13948374259049,0.0034041173818497,2
9,late,macro_margin,-0.3965777166407748,-0.3732211167247794,-0.02335659991599537,weak,26.196788917034286,0.0014571487178888,1
10,late,macro_margin,-0.319088198456794,-0.44404363128744156,0.12495543283064758,strong,6.653321455030653,0.0225903513835654,3
11,late,macro_margin,-0.41789547832789264,-0.6263557142238781,0.2084602358959855,weak,21.313901804104955,0.0022012738722302,1
12,late,macro_margin,-0.3916511162720837,-0.49062658421997596,0.09897546794789225,medium,7.612845670689498,0.0172546418213299,2
13,late,macro_margin,-0.2527742176289067,-0.7888562320256831,0.5360820143967764,weak,28.19474214542016,0.0012579510610674,1
14,late,macro_margin,-0.2372201048005597,-0.31598594009976333,0.07876583529920364,weak,27.789503026224843,0.0012949065859753,1
15,late,macro_margin,-0.5469848467157278,-0.4673564768144486,-0.0796283699012792,medium,14.811357826313504,0.0045583771165255,2
16,late,macro_margin,-0.34767009811148536,-0.6500402115639752,0.3023701134524898,medium,17.528598597052174,0.0032546598640646,2
